"sample","assigned_subtype","max_score","score","risk","subtype.subtype.score","subtype.subtype","subtype.Angiogenic.proba","subtype.nonAngiogenic.proba"
"ebf7da61-9344-4a92-8b51-05ec9a19a222.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999994891208527,0.844613909441043,0,0.844613909441043,"nonAngiogenic",5.10879147339504e-06,0.999994891208527
"207cda7f-138a-4ae2-a6fd-90a003a94073.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999898120376508,0.578092018414827,0,0.578092018414827,"nonAngiogenic",0.00010187962349221,0.999898120376508
"872f7c22-17e4-4940-809b-a0970fde369b.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999986354159686,0.757123424711277,0,0.757123424711277,"nonAngiogenic",1.36458403136498e-05,0.999986354159686
"95c5928f-acf9-4833-b63c-ad53bfd24ac2.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999957070966233,0.655058691486387,0,0.655058691486387,"nonAngiogenic",4.29290337670401e-05,0.999957070966233
"fa7a010e-704d-4b55-b1ee-a6a369ef74b4.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.731111278034712,-0.151352625632613,0,-0.151352625632613,"nonAngiogenic",0.268888721965288,0.731111278034712
"921df567-b883-4f95-ac75-7c63521b5a95.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999290558565424,0.405218609561895,0,0.405218609561895,"nonAngiogenic",0.000709441434576513,0.999290558565424
"2c5a90ae-67c6-46de-b865-1dde61e976bd.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999960422497012,0.662297694066541,0,0.662297694066541,"nonAngiogenic",3.95775029881661e-05,0.999960422497012
"511b6838-b0e6-41c3-8c47-6c0dcbf35393.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999944051262434,0.631469137332522,0,0.631469137332522,"nonAngiogenic",5.59487375656556e-05,0.999944051262434
"ae54a97a-d99d-4d76-b718-8cc61714b767.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.99056370320947,0.173988680225887,0,0.173988680225887,"nonAngiogenic",0.00943629679052945,0.99056370320947
"bba445df-c6f7-4257-9093-d4ea69db84a3.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999992467628622,0.810040055363136,0,0.810040055363136,"nonAngiogenic",7.53237137772838e-06,0.999992467628622
"d563b5ea-0724-4d07-9b31-9713d6edd332.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999981803391798,0.731494209623523,0,0.731494209623523,"nonAngiogenic",1.81966082023654e-05,0.999981803391798
"6ac60ab5-8d16-4e62-9122-0b4d796b9bc0.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.997934098148285,0.309916414257744,0,0.309916414257744,"nonAngiogenic",0.00206590185171474,0.997934098148285
"fa8ad93c-f08b-4227-9be1-419b5353b160.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999981682780434,0.730905898178636,0,0.730905898178636,"nonAngiogenic",1.83172195660932e-05,0.999981682780434
"980e31f1-5128-485e-befe-f68e1df82adb.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.891707400159084,-0.0526815887887011,0,-0.0526815887887011,"nonAngiogenic",0.108292599840916,0.891707400159084
"e4d2a83e-41fd-44b4-9d2d-80cb3617cfdd.rna_seq.augmented_star_gene_counts.tsv","Angiogenic",1,-0.50840351174244,1,-0.50840351174244,"Angiogenic",0.952990685289888,0.0470093147101118
"34e59c84-b0d2-4373-9a9c-b265b828631e.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999988490368434,0.772284528970848,0,0.772284528970848,"nonAngiogenic",1.15096315656277e-05,0.999988490368434
"07742557-d413-4ab1-a624-6a003ba346be.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.996213170314632,0.255801397692025,0,0.255801397692025,"nonAngiogenic",0.00378682968536796,0.996213170314632
"ecd6ce37-bdda-445f-b855-bc00794f03b1.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999847032909995,0.541894551309016,0,0.541894551309016,"nonAngiogenic",0.000152967090004671,0.999847032909995
