"sample","assigned_subtype","max_score","C1_immL","C2_diffL","C3_profL","C4_mescL"
"36e1390b-65ee-499f-8247-df984c24547f.rna_seq.augmented_star_gene_counts.tsv","C4_mescL",0.686632087556265,0.490772018052105,-0.629020109135478,-0.116300786369594,0.686632087556265
"73fb7bab-b6f9-4411-a0f2-48f884eb5679.rna_seq.augmented_star_gene_counts.tsv","C4_mescL",0.483100466721622,0.245151684527022,-0.362662964324483,0.0261533124188278,0.483100466721622
"c6996478-e874-456e-ad0c-296658d8baa2.rna_seq.augmented_star_gene_counts.tsv","C4_mescL",0.459210932079254,0.162964720115287,-0.410078874922081,0.175346779502203,0.459210932079254
"0f3919e2-e4d0-4394-9cba-88b8653694a0.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.462393361403351,-0.579974336241201,0.462393361403351,0.431929956174425,-0.367853881143142
"25ff83ac-f657-473a-a0d0-fd5e98e2f691.rna_seq.augmented_star_gene_counts.tsv","C4_mescL",0.52548421626943,0.254971371046654,-0.413875510300754,-0.0507263244041442,0.52548421626943
"ff23c7dc-14a8-43a4-a00b-3bafdc645e46.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.0972483735907913,0.0972483735907913,-0.0258468614784803,-0.121064890317454,-0.0164545317068253
"24de03d9-8635-4173-ad2b-08d01f7ff27f.rna_seq.augmented_star_gene_counts.tsv","C3_profL",0.519770434638217,-0.61110583965414,0.408869001327593,0.519770434638217,-0.335396935767956
"cfdb5780-7a6a-41ec-80f6-1405a06ba81d.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.424621005484203,-0.463262870426929,0.424621005484203,0.318738028027019,-0.472779662323645
"f3aafcfa-9e92-4d07-905c-c9b4fdd276c0.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.515990478760312,0.515990478760312,-0.370630146141849,-0.354187373608582,0.197213903204189
"962fb836-bac4-4da3-8705-fe9a5cacde8e.rna_seq.augmented_star_gene_counts.tsv","C4_mescL",0.466323321848147,-0.109664162065673,-0.26623379270872,0.349918086500655,0.466323321848147
"d936e585-e711-48ec-955f-ef3dc5ca7353.rna_seq.augmented_star_gene_counts.tsv","C4_mescL",0.616718582281184,0.427126044489779,-0.539318297275455,-0.0166027173042823,0.616718582281184
"c18d6e53-5ede-44c8-a80a-0b961d59a094.rna_seq.augmented_star_gene_counts.tsv","C4_mescL",0.464482603203596,0.327632129068988,-0.405828861263653,-0.144618764937168,0.464482603203596
"c0b634eb-856b-491e-ab86-3088950176d9.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.137977915231018,0.137977915231018,0.111143579993802,-0.21488082883118,-0.174777313889564
"bbb907c3-ad29-4255-9b4c-764d052db122.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.41815035746535,-0.446340801669998,0.41815035746535,0.330569080137348,-0.477163035291746
"c0e46d22-7732-4048-b5e9-7e631f7a797a.rna_seq.augmented_star_gene_counts.tsv","C3_profL",0.1904227922644,-0.109269198152091,-0.0285899631567138,0.1904227922644,0.0570742870189713
"391b894d-7639-4e12-97f1-e189233505ff.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.448368064288982,-0.582050713722327,0.448368064288982,0.440197808128191,-0.387877024486577
"fcd1465c-ddbb-438c-81c9-9be12b5327af.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.232477348321207,0.0323810363947979,0.232477348321207,-0.242979234742592,-0.348280113033216
"7a647483-f972-492c-972d-63b7eff7beff.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.342976369102701,-0.223338453235917,0.342976369102701,-0.00527300546188835,-0.301334708195205
"7bac05ec-f793-4b99-b1d1-c848f0c69b60.rna_seq.augmented_star_gene_counts.tsv","C4_mescL",0.145902249396583,0.0863285998944391,-0.122443344208927,0.0189173481672133,0.145902249396583
"cf8f83cf-db75-479f-8f27-f0d74f262c91.rna_seq.augmented_star_gene_counts.tsv","C4_mescL",0.354698499018521,-0.0569814764296686,-0.212352200793502,0.23671481648411,0.354698499018521
"253e8a92-35ff-45b4-bf43-8f52d62ca993.rna_seq.augmented_star_gene_counts.tsv","C4_mescL",0.594025874287612,0.465639622115607,-0.529491715950058,-0.139609735919774,0.594025874287612
"85db4a2d-ca76-4a24-8f69-c4ae6a781879.rna_seq.augmented_star_gene_counts.tsv","C3_profL",0.518140689585644,-0.622916283662371,0.421874567961858,0.518140689585644,-0.343546995368366
"bc3bc9f5-e99c-4384-a528-5dc71d1a5a19.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.441246333629335,-0.412813717583011,0.441246333629335,0.166086551063615,-0.367080558405437
"80fe180c-eb5d-4f12-88fb-112e36a48e46.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.518765272142983,-0.563173766330809,0.518765272142983,0.352252732426775,-0.439203504266915
"be93160b-4c67-48f1-8bdf-23d29b8c815d.rna_seq.augmented_star_gene_counts.tsv","C3_profL",0.545892315994853,-0.650204894943157,0.487731469589816,0.545892315994853,-0.409404707542862
"1521da11-ee78-464f-830f-2111e5713ee9.rna_seq.augmented_star_gene_counts.tsv","C4_mescL",0.115615233390463,-0.0548169585406499,-0.0784065695669165,0.0760726591271653,0.115615233390463
"3357f780-0eed-4559-9608-c02191b5fad3.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.471988731666851,-0.537055962116675,0.471988731666851,0.290323458247096,-0.472046740361635
"dc82e1cb-e108-4727-ba00-1beced69a2f3.rna_seq.augmented_star_gene_counts.tsv","C4_mescL",0.508332048415697,0.351934048142899,-0.433642536430569,-0.0474118299401624,0.508332048415697
"765e86db-4d7e-4b17-9051-3d7ee32df82a.rna_seq.augmented_star_gene_counts.tsv","C4_mescL",0.36242364624043,0.111933425452044,-0.261704531833183,0.070557174881244,0.36242364624043
