"sample","assigned_subtype","max_score","DIF","IMR","MES","PRO"
"bc3bc9f5-e99c-4384-a528-5dc71d1a5a19.rna_seq.augmented_star_gene_counts.tsv","DIF",0.747918070749965,0.747918070749965,0.427681505750717,0.40045061741273,0.501758469848992
"80fe180c-eb5d-4f12-88fb-112e36a48e46.rna_seq.augmented_star_gene_counts.tsv","PRO",0.651120230104701,0.589890032081566,0.313327789562269,0.25993162911383,0.651120230104701
"be93160b-4c67-48f1-8bdf-23d29b8c815d.rna_seq.augmented_star_gene_counts.tsv","PRO",0.962366844056603,0.115130539197622,0,0.393306256108975,0.962366844056603
"1521da11-ee78-464f-830f-2111e5713ee9.rna_seq.augmented_star_gene_counts.tsv","DIF",0.7773176989541,0.7773176989541,0.578745866848389,0.597140028610304,0.323248541936088
"3357f780-0eed-4559-9608-c02191b5fad3.rna_seq.augmented_star_gene_counts.tsv","PRO",0.644627391529006,0.398850723736193,0.313240767402985,0.192885719174948,0.644627391529006
"dc82e1cb-e108-4727-ba00-1beced69a2f3.rna_seq.augmented_star_gene_counts.tsv","MES",0.768413507196658,0.430202375260941,0.683783990683322,0.768413507196658,0.394611373126322
"765e86db-4d7e-4b17-9051-3d7ee32df82a.rna_seq.augmented_star_gene_counts.tsv","DIF",0.790884835227425,0.790884835227425,0.644432356624973,0.723955551995588,0.46508253779527
"0b5a3a02-abbb-405e-b392-4944e778e2be.rna_seq.augmented_star_gene_counts.tsv","IMR",0.684508053765036,0.496050886646662,0.684508053765036,0.661418765649956,0.562080980334362
"68faaf7b-ec8b-4e35-b86d-54f927585c61.rna_seq.augmented_star_gene_counts.tsv","PRO",0.735961151069701,0.384244937036819,0.448717152365514,0.448945945017789,0.735961151069701
"c2be3377-97dd-42be-887d-c9bf57034c98.rna_seq.augmented_star_gene_counts.tsv","DIF",0.89742856712672,0.89742856712672,0.59795224592204,0.453151612133292,0.402918191813399
"bd47a9d9-3e0e-4eef-ae47-887016a2df2d.rna_seq.augmented_star_gene_counts.tsv","DIF",0.898017228901456,0.898017228901456,0.59666819744759,0.167581717908407,0.23194018598276
"7d0b634a-b842-4f7c-afd3-9ba129e38da1.rna_seq.augmented_star_gene_counts.tsv","IMR",0.643413708598864,0.616691664968859,0.643413708598864,0.303849745493432,0.242746981450894
"a0a073aa-4198-4139-b0d3-ce95e1fa4327.rna_seq.augmented_star_gene_counts.tsv","PRO",0.574561840974283,0.501291361589137,0.489099530122285,0.435474910856097,0.574561840974283
"1fbf116b-6325-42ef-94d2-dfdda4aa8d9f.rna_seq.augmented_star_gene_counts.tsv","IMR",0.776757742946165,0.641651475052479,0.776757742946165,0.422834668632758,0.304995933253803
"1a807944-1fce-4a18-ae2b-f19a8f13e4d7.rna_seq.augmented_star_gene_counts.tsv","DIF",0.836163748188502,0.836163748188502,0.591770561123831,0.386259919823566,0.38261243605324
"14ad7b5f-80d5-4271-b46c-bbed630b59bf.rna_seq.augmented_star_gene_counts.tsv","PRO",0.652139489300649,0.491296006124139,0.205742454588795,0.393097013170742,0.652139489300649
"0328d523-1d48-483a-abc6-40787ed24b72.rna_seq.augmented_star_gene_counts.tsv","MES",0.823685443799714,0.469802909156699,0.678029527249097,0.823685443799714,0.452545815263969
